nb_bit	taps	seed	TF coverage	num of test patterns	weights	freq of zeros
10	10, 9, 7, 6	[0, 1, 0, 1, 1, 1, 1, 1, 1, 1][1, 1, 0, 0, 0, 0, 0, 0, 1, 0][1, 0, 1, 1, 1, 0, 0, 1, 1, 0]	65.9874%	2000	0.25, 0.5, 0.75	0.1, 0.8, 0.1	0.527257
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	65.1089%	2000	0.25, 0.5, 0.75	0.3333333333333333	0.592003
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	66.1630%	2000	0.25, 0.5, 0.75	0.1, 0.8, 0.1	0.527057
10	10, 9, 7, 6	[0, 0, 1, 0, 0, 0, 0, 0, 0, 1][1, 0, 1, 0, 0, 1, 1, 1, 0, 1][1, 1, 0, 0, 0, 0, 0, 0, 1, 0][0, 1, 0, 1, 0, 1, 1, 0, 1, 0]	63.0007%	2000	0.125, 0.25, 0.5, 0.75	0.25	0.499514
10	10, 9, 7, 6	[1, 0, 1, 0, 0, 1, 1, 1, 0, 1][0, 0, 1, 0, 1, 1, 0, 1, 0, 0][1, 1, 0, 0, 0, 0, 0, 0, 1, 0][0, 1, 0, 1, 0, 0, 1, 0, 1, 1]	65.3900%	2000	0.125, 0.25, 0.5, 0.75	0.1, 0.1, 0.7, 0.1	0.495613
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	63.3521%	2000	0.125, 0.25, 0.5, 0.75	0.25	0.494228
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	65.9874%	2000	0.125, 0.25, 0.5, 0.75	0.1, 0.1, 0.7, 0.1	0.497703
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][1, 0, 1, 0, 0, 0, 1, 1, 1, 1]	63.0007%	3000	0.5, 0.25	0.5	0.499514
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][0, 1, 0, 0, 1, 0, 1, 1, 0, 1]	66.9361%	3000	0.5, 0.25	0.8, 0.2	0.509709
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	65.6008%	3000	0.5, 0.25	0.5	0.524968
